League,Team,Player
Serie A 2016/17,Cagliari Calcio,Alessandro Capello
Serie A 2016/17,Bologna FC,Godfred Donsah
Serie A 2016/17,Bologna FC,Antonio Mirante
Serie A 2016/17,Bologna FC,Angelo da Costa
Serie A 2016/17,Bologna FC,Mouhamadou Sarr
Serie A 2016/17,Bologna FC,Marios Oikonomou
Serie A 2016/17,Bologna FC,Filip Helander
Serie A 2016/17,Bologna FC,Daniele Gastaldello
Serie A 2016/17,Bologna FC,Domenico Maietta
Serie A 2016/17,Bologna FC,Adam Masina
Serie A 2016/17,Bologna FC,Ibrahima Mbaye
Serie A 2016/17,Bologna FC,Emil Krafth
Serie A 2016/17,Bologna FC,Vasilis Torosidis
Serie A 2016/17,Bologna FC,Federico Viviani
Serie A 2016/17,Bologna FC,Ádám Nagy
Serie A 2016/17,Bologna FC,Erick Pulgar
Serie A 2016/17,Bologna FC,Saphir Taider
Serie A 2016/17,Bologna FC,Luca Rizzo
Serie A 2016/17,Bologna FC,Blerim Dzemaili
Serie A 2016/17,Bologna FC,Simone Verdi
Serie A 2016/17,Bologna FC,Juan Manuel Valencia
Serie A 2016/17,Bologna FC,Ladislav Krejcí
Serie A 2016/17,Bologna FC,Orji Okwonkwo
Serie A 2016/17,Bologna FC,Federico Di Francesco
Serie A 2016/17,Bologna FC,Mattia Destro
Serie A 2016/17,Bologna FC,Umar Sadiq
Serie A 2016/17,Bologna FC,Bruno Petkovic
Serie A 2016/17,FC Crotone,Lorenzo Crisetig
Serie A 2016/17,FC Crotone,Alex Cordaz
Serie A 2016/17,FC Crotone,Marco Festa
Serie A 2016/17,FC Crotone,Aniello Viscovo
Serie A 2016/17,FC Crotone,Gianmarco Ferrari
Serie A 2016/17,FC Crotone,Noë Dussenne
Serie A 2016/17,FC Crotone,Federico Ceccherini
Serie A 2016/17,FC Crotone,Claiton
Serie A 2016/17,FC Crotone,Giuseppe Cuomo
Serie A 2016/17,FC Crotone,Bruno Martella
Serie A 2016/17,FC Crotone,Djamel Mesbah
Serie A 2016/17,FC Crotone,Aleandro Rosi
Serie A 2016/17,FC Crotone,Mario Sampirisi
Serie A 2016/17,FC Crotone,Marcus Rohdén
Serie A 2016/17,FC Crotone,Leonardo Capezzi
Serie A 2016/17,FC Crotone,Andrea Barberis
Serie A 2016/17,FC Crotone,Cazim Suljic
Serie A 2016/17,FC Crotone,Manuel Nicoletti
Serie A 2016/17,FC Crotone,Andrej Kotnik
Serie A 2016/17,FC Crotone,Adrian Stoian
Serie A 2016/17,FC Crotone,Aleksandar Tonev
Serie A 2016/17,FC Crotone,Maxwell Acosty
Serie A 2016/17,FC Crotone,Andrea Nalini
Serie A 2016/17,FC Crotone,Diego Falcinelli
Serie A 2016/17,FC Crotone,Marcello Trotta
Serie A 2016/17,FC Crotone,Simy
Serie A 2016/17,US Cittá di Palermo,Josip Posavec
Serie A 2016/17,US Cittá di Palermo,Leonardo Marson
Serie A 2016/17,US Cittá di Palermo,Andrea Fulignati
Serie A 2016/17,US Cittá di Palermo,Giancarlo González
Serie A 2016/17,US Cittá di Palermo,Edoardo Goldaniga
Serie A 2016/17,US Cittá di Palermo,Slobodan Rajkovic
Serie A 2016/17,US Cittá di Palermo,Toni Sunjic
Serie A 2016/17,US Cittá di Palermo,Thiago Cionek
Serie A 2016/17,US Cittá di Palermo,Sinisa Andelkovic
Serie A 2016/17,US Cittá di Palermo,Roberto Vitiello
Serie A 2016/17,US Cittá di Palermo,Andrea Punzi
Serie A 2016/17,US Cittá di Palermo,Haitam Aleesami
Serie A 2016/17,US Cittá di Palermo,Giuseppe Pezzella
Serie A 2016/17,US Cittá di Palermo,Simone Giuliano
Serie A 2016/17,US Cittá di Palermo,Andrea Rispoli
Serie A 2016/17,US Cittá di Palermo,Michel Morganella
Serie A 2016/17,US Cittá di Palermo,Bruno Henrique
Serie A 2016/17,US Cittá di Palermo,Mato Jajalo
Serie A 2016/17,US Cittá di Palermo,Alessandro Gazzi
Serie A 2016/17,US Cittá di Palermo,Ivaylo Chochev
Serie A 2016/17,US Cittá di Palermo,Roland Sallai
Serie A 2016/17,US Cittá di Palermo,Carlos Embalo
Serie A 2016/17,US Cittá di Palermo,Aleksandar Trajkovski
Serie A 2016/17,US Cittá di Palermo,Stefan Silva
Serie A 2016/17,US Cittá di Palermo,Alessandro Diamanti
Serie A 2016/17,US Cittá di Palermo,Simone Lo Faso
Serie A 2016/17,US Cittá di Palermo,Ilija Nestorovski
Serie A 2016/17,US Cittá di Palermo,Norbert Balogh
Serie A 2016/17,US Sassuolo Calcio,Andrea Consigli
Serie A 2016/17,US Sassuolo Calcio,Gianluca Pegolo
Serie A 2016/17,US Sassuolo Calcio,Alberto Pomini
Serie A 2016/17,US Sassuolo Calcio,Francesco Acerbi
Serie A 2016/17,US Sassuolo Calcio,Timo Letschert
Serie A 2016/17,US Sassuolo Calcio,Luca Antei
Serie A 2016/17,US Sassuolo Calcio,Paolo Cannavaro
Serie A 2016/17,US Sassuolo Calcio,Federico Peluso
Serie A 2016/17,US Sassuolo Calcio,Cristian Dell'Orco
Serie A 2016/17,US Sassuolo Calcio,Pol Lirola
Serie A 2016/17,US Sassuolo Calcio,Claud Adjapong
Serie A 2016/17,US Sassuolo Calcio,Marcello Gazzola
Serie A 2016/17,US Sassuolo Calcio,Stefano Sensi
Serie A 2016/17,US Sassuolo Calcio,Francesco Magnanelli
Serie A 2016/17,US Sassuolo Calcio,Luca Mazzitelli
Serie A 2016/17,US Sassuolo Calcio,Lorenzo Pellegrini
Serie A 2016/17,US Sassuolo Calcio,Alfred Duncan
Serie A 2016/17,US Sassuolo Calcio,Simone Missiroli
Serie A 2016/17,US Sassuolo Calcio,Alberto Aquilani
Serie A 2016/17,US Sassuolo Calcio,Davide Biondini
Serie A 2016/17,US Sassuolo Calcio,Matteo Politano
Serie A 2016/17,US Sassuolo Calcio,Domenico Berardi
Serie A 2016/17,US Sassuolo Calcio,Federico Ricci
Serie A 2016/17,US Sassuolo Calcio,Antonino Ragusa
Serie A 2016/17,US Sassuolo Calcio,Grégoire Defrel
Serie A 2016/17,US Sassuolo Calcio,Pietro Iemmello
Serie A 2016/17,US Sassuolo Calcio,Alessandro Matri
Serie A 2016/17,Pescara Calcio,Vincenzo Fiorillo
Serie A 2016/17,Pescara Calcio,Albano Bizzarri
Serie A 2016/17,Pescara Calcio,Gabriele Aldegani
Serie A 2016/17,Pescara Calcio,Michele Fornasier
Serie A 2016/17,Pescara Calcio,Cesare Bovo
Serie A 2016/17,Pescara Calcio,Guglielmo Stendardo
Serie A 2016/17,Pescara Calcio,Hugo Campagnaro
Serie A 2016/17,Pescara Calcio,Andrea Coda
Serie A 2016/17,Pescara Calcio,Cristiano Biraghi
Serie A 2016/17,Pescara Calcio,Alessandro Crescenzi
Serie A 2016/17,Pescara Calcio,Francesco Zampano
Serie A 2016/17,Pescara Calcio,Davide Vitturini
Serie A 2016/17,Pescara Calcio,Leonardo Maloku
Serie A 2016/17,Pescara Calcio,Andrés Cubas
Serie A 2016/17,Pescara Calcio,Gastón Brugman
Serie A 2016/17,Pescara Calcio,Valerio Verre
Serie A 2016/17,Pescara Calcio,Ledian Memushaj
Serie A 2016/17,Pescara Calcio,Sulley Muntari
Serie A 2016/17,Pescara Calcio,Alessandro Bruno
Serie A 2016/17,Pescara Calcio,Mamadou Coulibaly
Serie A 2016/17,Pescara Calcio,Ahmad Benali
Serie A 2016/17,Pescara Calcio,Alexandru Mitrita
Serie A 2016/17,Pescara Calcio,Grigoris Kastanos
Serie A 2016/17,Pescara Calcio,Robert Muric
Serie A 2016/17,Pescara Calcio,Simone Pepe
Serie A 2016/17,Pescara Calcio,Ferdinando Del Sole
Serie A 2016/17,Pescara Calcio,Gianluca Caprari
Serie A 2016/17,Pescara Calcio,Jean-Christophe Bahebeck
Serie A 2016/17,Pescara Calcio,Alberto Cerri
Serie A 2016/17,Pescara Calcio,Alberto Gilardino
Serie A 2016/17,SSC Napoli,Allan
Serie A 2016/17,SSC Napoli,Jorginho
Serie A 2016/17,SSC Napoli,Rafael
Serie A 2016/17,SSC Napoli,Pepe Reina
Serie A 2016/17,SSC Napoli,Luigi Sepe
Serie A 2016/17,SSC Napoli,Kalidou Koulibaly
Serie A 2016/17,SSC Napoli,Nikola Maksimovi?
Serie A 2016/17,SSC Napoli,Raúl Albiol
Serie A 2016/17,SSC Napoli,Lorenzo Tonelli
Serie A 2016/17,SSC Napoli,Vlad Chiriches
Serie A 2016/17,SSC Napoli,Faouzi Ghoulam
Serie A 2016/17,SSC Napoli,Ivan Strinic
Serie A 2016/17,SSC Napoli,Elseid Hysaj
Serie A 2016/17,SSC Napoli,Christian Maggio
Serie A 2016/17,SSC Napoli,Amadou Diawara
Serie A 2016/17,SSC Napoli,Marek Hamsik
Serie A 2016/17,SSC Napoli,Piotr Zielinski
Serie A 2016/17,SSC Napoli,Marko Rog
Serie A 2016/17,SSC Napoli,Emanuele Giaccherini
Serie A 2016/17,SSC Napoli,Lorenzo Insigne
Serie A 2016/17,SSC Napoli,Dries Mertens
Serie A 2016/17,SSC Napoli,Alessio Zerbin
Serie A 2016/17,SSC Napoli,José Callejón
Serie A 2016/17,SSC Napoli,Arkadiusz Milik
Serie A 2016/17,SSC Napoli,Leonardo Pavoletti
Serie A 2016/17,Atalanta BC,Etrit Berisha
Serie A 2016/17,Atalanta BC,Pierluigi Gollini
Serie A 2016/17,Atalanta BC,Francesco Rossi
Serie A 2016/17,Atalanta BC,Stefano Mazzini
Serie A 2016/17,Atalanta BC,Mattia Caldara
Serie A 2016/17,Atalanta BC,Rafael Tolói
Serie A 2016/17,Atalanta BC,Ervin Zukanovic
Serie A 2016/17,Atalanta BC,Andrea Masiello
Serie A 2016/17,Atalanta BC,Alessandro Bastoni
Serie A 2016/17,Atalanta BC,Boukary Dramé
Serie A 2016/17,Atalanta BC,Andrea Conti
Serie A 2016/17,Atalanta BC,Hans Hateboer
Serie A 2016/17,Atalanta BC,Abdoulay Konko
Serie A 2016/17,Atalanta BC,Franck Kessié
Serie A 2016/17,Atalanta BC,Jasmin Kurtic
Serie A 2016/17,Atalanta BC,Remo Freuler
Serie A 2016/17,Atalanta BC,Alberto Grassi
Serie A 2016/17,Atalanta BC,Bryan Cristante
Serie A 2016/17,Atalanta BC,Giulio Migliaccio
Serie A 2016/17,Atalanta BC,Cristian Raimondi
Serie A 2016/17,Atalanta BC,Leonardo Spinazzola
Serie A 2016/17,Atalanta BC,Papu Gomez
Serie A 2016/17,Atalanta BC,Anthony Mounier
Serie A 2016/17,Atalanta BC,Bryan Cabezas
Serie A 2016/17,Atalanta BC,Marco D'Alessandro
Serie A 2016/17,Atalanta BC,Salvatore Molina
Serie A 2016/17,Atalanta BC,Andrea Petagna
Serie A 2016/17,Atalanta BC,Alberto Paloschi
Serie A 2016/17,Atalanta BC,Aleksandar Pesic
Serie A 2016/17,SS Lazio,Federico Marchetti
Serie A 2016/17,SS Lazio,Thomas Strakosha
Serie A 2016/17,SS Lazio,Ivan Vargic
Serie A 2016/17,SS Lazio,Stefan de Vrij
Serie A 2016/17,SS Lazio,Wallace
Serie A 2016/17,SS Lazio,Wesley Hoedt
Serie A 2016/17,SS Lazio,Bastos
Serie A 2016/17,SS Lazio,Stefan Radu
Serie A 2016/17,SS Lazio,Jordan Lukaku
Serie A 2016/17,SS Lazio,Dusan Basta
Serie A 2016/17,SS Lazio,Patric
Serie A 2016/17,SS Lazio,Lucas Biglia
Serie A 2016/17,SS Lazio,Sergej Milinkovic-Savic
Serie A 2016/17,SS Lazio,Marco Parolo
Serie A 2016/17,SS Lazio,Alessandro Murgia
Serie A 2016/17,SS Lazio,Abukar Mohamed
Serie A 2016/17,SS Lazio,Felipe Anderson
Serie A 2016/17,SS Lazio,Senad Lulic
Serie A 2016/17,SS Lazio,Luca Crecco
Serie A 2016/17,SS Lazio,Luis Alberto
Serie A 2016/17,SS Lazio,Keita Baldé
Serie A 2016/17,SS Lazio,Cristiano Lombardi
Serie A 2016/17,SS Lazio,Ciro Immobile
Serie A 2016/17,SS Lazio,Filip Djordjevic
Serie A 2016/17,SS Lazio,Mamadou Tounkara
Serie A 2016/17,SS Lazio,Alessandro Rossi
Primeira Liga 2016/17,FC Rio Ave,Adama Traoré
Primeira Liga 2016/17,FC Rio Ave,Marcelo
Primeira Liga 2016/17,FC Rio Ave,Héldon
Primeira Liga 2016/17,FC Rio Ave,Leandrinho
Primeira Liga 2016/17,FC Rio Ave,Cássio
Primeira Liga 2016/17,FC Rio Ave,Rui Vieira
Primeira Liga 2016/17,FC Rio Ave,Carlos Alves
Primeira Liga 2016/17,FC Rio Ave,Roderick Miranda
Primeira Liga 2016/17,FC Rio Ave,Aníbal Capela
Primeira Liga 2016/17,FC Rio Ave,Nélson Monte
Primeira Liga 2016/17,FC Rio Ave,André Vilas Boas
Primeira Liga 2016/17,FC Rio Ave,Rafa Soares
Primeira Liga 2016/17,FC Rio Ave,Bruno Teles
Primeira Liga 2016/17,FC Rio Ave,Tiago André
Primeira Liga 2016/17,FC Rio Ave,Lionn
Primeira Liga 2016/17,FC Rio Ave,Nadjack
Primeira Liga 2016/17,FC Rio Ave,Radosav Petrovic
Primeira Liga 2016/17,FC Rio Ave,Tarantini
Primeira Liga 2016/17,FC Rio Ave,Pedro Moreira
Primeira Liga 2016/17,FC Rio Ave,Rúben Ribeiro
Primeira Liga 2016/17,FC Rio Ave,Filip Krovinovic
Primeira Liga 2016/17,FC Rio Ave,João Novais
Primeira Liga 2016/17,FC Rio Ave,Vitó
Primeira Liga 2016/17,FC Rio Ave,Gil Dias
Primeira Liga 2016/17,FC Rio Ave,Kizito
Primeira Liga 2016/17,FC Rio Ave,Jaime Pinto
Primeira Liga 2016/17,FC Rio Ave,Hélder Guedes
Primeira Liga 2016/17,FC Rio Ave,Gonçalo Paciência
Primeira Liga 2016/17,FC Rio Ave,Yazalde
Primeira Liga 2016/17,FC Rio Ave,Ronan
Primeira Liga 2016/17,FC Porto,Felipe
Primeira Liga 2016/17,FC Porto,Iker Casillas
Primeira Liga 2016/17,FC Porto,José Sá
Primeira Liga 2016/17,FC Porto,Iván Marcano
Primeira Liga 2016/17,FC Porto,Willy Boly
Primeira Liga 2016/17,FC Porto,Alex Telles
Primeira Liga 2016/17,FC Porto,Miguel Layún
Primeira Liga 2016/17,FC Porto,Maxi Pereira
Primeira Liga 2016/17,FC Porto,Danilo Pereira
Primeira Liga 2016/17,FC Porto,Rúben Neves
Primeira Liga 2016/17,FC Porto,Héctor Herrera
Primeira Liga 2016/17,FC Porto,André André
Primeira Liga 2016/17,FC Porto,Otávio
Primeira Liga 2016/17,FC Porto,Óliver Torres
Primeira Liga 2016/17,FC Porto,João Teixeira
Primeira Liga 2016/17,FC Porto,Yacine Brahimi
Primeira Liga 2016/17,FC Porto,Jesús Corona
Primeira Liga 2016/17,FC Porto,Diogo Jota
Primeira Liga 2016/17,FC Porto,André Silva
Primeira Liga 2016/17,FC Porto,Francisco Soares
Primeira Liga 2016/17,FC Porto,Laurent Depoitre
Primeira Liga 2016/17,Moreirense FC,Roberto
Primeira Liga 2016/17,Moreirense FC,Neto
Primeira Liga 2016/17,Moreirense FC,Giorgi Makaridze
Primeira Liga 2016/17,Moreirense FC,Igor Stefanovic
Primeira Liga 2016/17,Moreirense FC,Pedro Taborda
Primeira Liga 2016/17,Moreirense FC,André Micael
Primeira Liga 2016/17,Moreirense FC,Diego Galo
Primeira Liga 2016/17,Moreirense FC,Diego Ivo
Primeira Liga 2016/17,Moreirense FC,Marcelo Oliveira
Primeira Liga 2016/17,Moreirense FC,Pedro Rebocho
Primeira Liga 2016/17,Moreirense FC,Jander
Primeira Liga 2016/17,Moreirense FC,Pierre Sagna
Primeira Liga 2016/17,Moreirense FC,Tiago Almeida
Primeira Liga 2016/17,Moreirense FC,Cauê
Primeira Liga 2016/17,Moreirense FC,Fernando Alexandre
Primeira Liga 2016/17,Moreirense FC,Bouba
Primeira Liga 2016/17,Moreirense FC,Alan Schons
Primeira Liga 2016/17,Moreirense FC,Nabil Haddouzi
Primeira Liga 2016/17,Moreirense FC,Wallyson Mallmann
Primeira Liga 2016/17,Moreirense FC,Tiago Morgado
Primeira Liga 2016/17,Moreirense FC,Nildo Petrolina
Primeira Liga 2016/17,Moreirense FC,Alex
Primeira Liga 2016/17,Moreirense FC,Papel
Primeira Liga 2016/17,Moreirense FC,Ousmane Dramé
Primeira Liga 2016/17,Moreirense FC,Modou Sougou
Primeira Liga 2016/17,Moreirense FC,Frédéric Maciel
Primeira Liga 2016/17,Moreirense FC,Emmanuel Boateng
Primeira Liga 2016/17,Moreirense FC,David Ramírez
Primeira Liga 2016/17,FC Paços de Ferreira,Pedrinho
Primeira Liga 2016/17,FC Paços de Ferreira,Rafael Defendi
Primeira Liga 2016/17,FC Paços de Ferreira,Mário Felgueiras
Primeira Liga 2016/17,FC Paços de Ferreira,João Pinho
Primeira Liga 2016/17,FC Paços de Ferreira,Yerjet Yerzat
Primeira Liga 2016/17,FC Paços de Ferreira,Marco Baixinho
Primeira Liga 2016/17,FC Paços de Ferreira,Gegé
Primeira Liga 2016/17,FC Paços de Ferreira,Pedro Monteiro
Primeira Liga 2016/17,FC Paços de Ferreira,Miguel Vieira
Primeira Liga 2016/17,FC Paços de Ferreira,Ricardo
Primeira Liga 2016/17,FC Paços de Ferreira,Filipe Ferreira
Primeira Liga 2016/17,FC Paços de Ferreira,Paulo Henrique
Primeira Liga 2016/17,FC Paços de Ferreira,Bruno Santos
Primeira Liga 2016/17,FC Paços de Ferreira,João Góis
Primeira Liga 2016/17,FC Paços de Ferreira,Francisco Afonso
Primeira Liga 2016/17,FC Paços de Ferreira,Mateus da Silva
Primeira Liga 2016/17,FC Paços de Ferreira,Filipe Melo
Primeira Liga 2016/17,FC Paços de Ferreira,Romeu
Primeira Liga 2016/17,FC Paços de Ferreira,Christian
Primeira Liga 2016/17,FC Paços de Ferreira,André Leal
Primeira Liga 2016/17,FC Paços de Ferreira,Vasco Rocha
Primeira Liga 2016/17,FC Paços de Ferreira,Ivo Rodrigues
Primeira Liga 2016/17,FC Paços de Ferreira,Ricardo Valente
Primeira Liga 2016/17,FC Paços de Ferreira,Minhoca
Primeira Liga 2016/17,FC Paços de Ferreira,Barnes Osei
Primeira Liga 2016/17,FC Paços de Ferreira,Tony Taylor
Primeira Liga 2016/17,FC Paços de Ferreira,Welthon
Primeira Liga 2016/17,FC Paços de Ferreira,Rabiola
Primeira Liga 2016/17,FC Paços de Ferreira,Luiz Phellype
Primeira Liga 2016/17,FC Paços de Ferreira,Cícero
Primeira Liga 2016/17,Sporting CP,Douglas
Primeira Liga 2016/17,Sporting CP,Daniel Podence
Primeira Liga 2016/17,Sporting CP,Rui Patrício
Primeira Liga 2016/17,Sporting CP,Beto
Primeira Liga 2016/17,Sporting CP,Azbe Jug
Primeira Liga 2016/17,Sporting CP,Sebastián Coates
Primeira Liga 2016/17,Sporting CP,Rúben Semedo
Primeira Liga 2016/17,Sporting CP,Paulo Oliveira
Primeira Liga 2016/17,Sporting CP,Jefferson
Primeira Liga 2016/17,Sporting CP,Marvin Zeegelaar
Primeira Liga 2016/17,Sporting CP,Ezequiel Schelotto
Primeira Liga 2016/17,Sporting CP,Ricardo Esgaio
Primeira Liga 2016/17,Sporting CP,William Carvalho
Primeira Liga 2016/17,Sporting CP,João Palhinha
Primeira Liga 2016/17,Sporting CP,Bruno Paulista
Primeira Liga 2016/17,Sporting CP,Adrien Silva
Primeira Liga 2016/17,Sporting CP,Chico Geraldes
Primeira Liga 2016/17,Sporting CP,Joel Campbell
Primeira Liga 2016/17,Sporting CP,Bryan Ruíz
Primeira Liga 2016/17,Sporting CP,Bruno César
Primeira Liga 2016/17,Sporting CP,Matheus Pereira
Primeira Liga 2016/17,Sporting CP,Gelson Martins
Primeira Liga 2016/17,Sporting CP,Alan Ruiz
Primeira Liga 2016/17,Sporting CP,Bas Dost
Primeira Liga 2016/17,Sporting CP,Luc Castaignos
Primeira Liga 2016/17,Sporting CP,Lukas Spalvis
Primeira Liga 2016/17,Maritimo Funchal,Charles
Primeira Liga 2016/17,Maritimo Funchal,Gottardi
Primeira Liga 2016/17,Maritimo Funchal,Wellington
Primeira Liga 2016/17,Maritimo Funchal,Rafael Broetto
Primeira Liga 2016/17,Maritimo Funchal,Amir Abedzadeh
Primeira Liga 2016/17,Maritimo Funchal,Maurício Antônio
Primeira Liga 2016/17,Maritimo Funchal,Raúl Silva
Primeira Liga 2016/17,Maritimo Funchal,Zainadine Júnior
Primeira Liga 2016/17,Maritimo Funchal,Deyvison
Primeira Liga 2016/17,Maritimo Funchal,Fábio China
Primeira Liga 2016/17,Maritimo Funchal,Luís Martins
Primeira Liga 2016/17,Maritimo Funchal,Patrick
Primeira Liga 2016/17,Maritimo Funchal,Coronas
Primeira Liga 2016/17,Maritimo Funchal,Erdem Sen
Primeira Liga 2016/17,Maritimo Funchal,Jean Cleber
Primeira Liga 2016/17,Maritimo Funchal,Fransérgio
Primeira Liga 2016/17,Maritimo Funchal,Alex Soares
Primeira Liga 2016/17,Maritimo Funchal,Éber Bessa
Primeira Liga 2016/17,Maritimo Funchal,Shaher Mansour
Primeira Liga 2016/17,Maritimo Funchal,Abdul Basit
Primeira Liga 2016/17,Maritimo Funchal,Gevorg Ghazaryan
Primeira Liga 2016/17,Maritimo Funchal,António Xavier
Primeira Liga 2016/17,Maritimo Funchal,Brito
Primeira Liga 2016/17,Maritimo Funchal,Edgar Costa
Primeira Liga 2016/17,Maritimo Funchal,Gildo Vilanculos
Primeira Liga 2016/17,Maritimo Funchal,Dyego Sousa
Primeira Liga 2016/17,Maritimo Funchal,Alhassane Keita
Primeira Liga 2016/17,Maritimo Funchal,Donald Djousse
Primeira Liga 2016/17,Maritimo Funchal,Luan
Primeira Liga 2016/17,Maritimo Funchal,Adul
Primeira Liga 2016/17,CD Tondela,Cláudio Ramos
Primeira Liga 2016/17,CD Tondela,Ricardo Janota
Primeira Liga 2016/17,CD Tondela,Miguel Batista
Primeira Liga 2016/17,CD Tondela,Rafael Amorim
Primeira Liga 2016/17,CD Tondela,Vitali Lystsov
Primeira Liga 2016/17,CD Tondela,Pica
Primeira Liga 2016/17,CD Tondela,Yordan Osorio
Primeira Liga 2016/17,CD Tondela,Kaká
Primeira Liga 2016/17,CD Tondela,David Bruno
Primeira Liga 2016/17,CD Tondela,Ruca
Primeira Liga 2016/17,CD Tondela,Jaílson
Primeira Liga 2016/17,CD Tondela,Claude Gonçalves
Primeira Liga 2016/17,CD Tondela,João Jaquité
Primeira Liga 2016/17,CD Tondela,Fernando Ferreira
Primeira Liga 2016/17,CD Tondela,Hélder Tavares
Primeira Liga 2016/17,CD Tondela,Bruno Monteiro
Primeira Liga 2016/17,CD Tondela,Dylan Flores
Primeira Liga 2016/17,CD Tondela,Wagner
Primeira Liga 2016/17,CD Tondela,Pité
Primeira Liga 2016/17,CD Tondela,Miguel Cardoso
Primeira Liga 2016/17,CD Tondela,Pedro Nuno
Primeira Liga 2016/17,CD Tondela,Murilo Freitas
Primeira Liga 2016/17,CD Tondela,Jhon Murillo
Primeira Liga 2016/17,CD Tondela,Batista
Primeira Liga 2016/17,CD Tondela,Amido Baldé
Primeira Liga 2016/17,CD Tondela,Heliardo
Primeira Liga 2016/17,SL Benfica,Ederson
Primeira Liga 2016/17,SL Benfica,Júlio César
Primeira Liga 2016/17,SL Benfica,Paulo Lopes
Primeira Liga 2016/17,SL Benfica,Victor Lindelöf
Primeira Liga 2016/17,SL Benfica,Lisandro López
Primeira Liga 2016/17,SL Benfica,Jardel
Primeira Liga 2016/17,SL Benfica,Luisão
Primeira Liga 2016/17,SL Benfica,Alejandro Grimaldo
Primeira Liga 2016/17,SL Benfica,André Almeida
Primeira Liga 2016/17,SL Benfica,Eliseu
Primeira Liga 2016/17,SL Benfica,Marcelo Hermes
Primeira Liga 2016/17,SL Benfica,Nélson Semedo
Primeira Liga 2016/17,SL Benfica,Pedro Pereira
Primeira Liga 2016/17,SL Benfica,Ljubomir Fejsa
Primeira Liga 2016/17,SL Benfica,Andreas Samaris
Primeira Liga 2016/17,SL Benfica,Filipe Augusto
Primeira Liga 2016/17,SL Benfica,Pizzi
Primeira Liga 2016/17,SL Benfica,André Horta
Primeira Liga 2016/17,SL Benfica,Rafa Silva
Primeira Liga 2016/17,SL Benfica,Franco Cervi
Primeira Liga 2016/17,SL Benfica,Toto Salvio
Primeira Liga 2016/17,SL Benfica,André Carrillo
Primeira Liga 2016/17,SL Benfica,Andrija Zivkovic
Primeira Liga 2016/17,SL Benfica,Jonas
Primeira Liga 2016/17,SL Benfica,Konstantinos Mitroglou
Primeira Liga 2016/17,SL Benfica,Raúl Jiménez
Primeira Liga 2016/17,Boavista Porto FC,Vagner
Primeira Liga 2016/17,Boavista Porto FC,Kamran Agaev
Primeira Liga 2016/17,Boavista Porto FC,Mickaël Meira
Primeira Liga 2016/17,Boavista Porto FC,Mamadou Ba
Primeira Liga 2016/17,Boavista Porto FC,Lucas Tagliapietra
Primeira Liga 2016/17,Boavista Porto FC,Philipe Sampaio
Primeira Liga 2016/17,Boavista Porto FC,Nuno Henrique
Primeira Liga 2016/17,Boavista Porto FC,Carlos Santos
Primeira Liga 2016/17,Boavista Porto FC,João Talocha
Primeira Liga 2016/17,Boavista Porto FC,Anderson Correia
Primeira Liga 2016/17,Boavista Porto FC,Aidi Fulang Xisi
Primeira Liga 2016/17,Boavista Porto FC,Edu Machado
Primeira Liga 2016/17,Boavista Porto FC,Tiago Mesquita
Primeira Liga 2016/17,Boavista Porto FC,Idris Mandiang
Primeira Liga 2016/17,Boavista Porto FC,Tengarrinha
Primeira Liga 2016/17,Boavista Porto FC,Anderson Carvalho
Primeira Liga 2016/17,Boavista Porto FC,Carraça
Primeira Liga 2016/17,Boavista Porto FC,Emin Makhmudov
Primeira Liga 2016/17,Boavista Porto FC,Rochinha
Primeira Liga 2016/17,Boavista Porto FC,Henrique Martins
Primeira Liga 2016/17,Boavista Porto FC,Fábio Espinho
Primeira Liga 2016/17,Boavista Porto FC,Renato Santos
Primeira Liga 2016/17,Boavista Porto FC,Davi Mbala
Primeira Liga 2016/17,Boavista Porto FC,André Bukia
Primeira Liga 2016/17,Boavista Porto FC,Iuri Medeiros
Primeira Liga 2016/17,Boavista Porto FC,André Schembri
Primeira Liga 2016/17,Boavista Porto FC,Ivan Bulos
Primeira Liga 2016/17,Boavista Porto FC,Idé Colubali
Primeira Liga 2016/17,Boavista Porto FC,Edu Ferreira
Primeira Liga 2016/17,FC Arouca,Sinan Bolat
Primeira Liga 2016/17,FC Arouca,Rafael Bracali
Primeira Liga 2016/17,FC Arouca,Rui Sacramento
Primeira Liga 2016/17,FC Arouca,Igor Rocha
Primeira Liga 2016/17,FC Arouca,Hugo Basto
Primeira Liga 2016/17,FC Arouca,Jubal
Primeira Liga 2016/17,FC Arouca,Sema Velázquez
Primeira Liga 2016/17,FC Arouca,Nelsinho
Primeira Liga 2016/17,FC Arouca,Vítor Costa
Primeira Liga 2016/17,FC Arouca,Ânderson Luís
Primeira Liga 2016/17,FC Arouca,Jefre Vargas
Primeira Liga 2016/17,FC Arouca,Nuno Coelho
Primeira Liga 2016/17,FC Arouca,André Santos
Primeira Liga 2016/17,FC Arouca,Adilson Goiano
Primeira Liga 2016/17,FC Arouca,Gilson Costa
Primeira Liga 2016/17,FC Arouca,Alex Azevedo
Primeira Liga 2016/17,FC Arouca,Karl
Primeira Liga 2016/17,FC Arouca,Nuno Valente
Primeira Liga 2016/17,FC Arouca,Rafael Crivellaro
Primeira Liga 2016/17,FC Arouca,Artur
Primeira Liga 2016/17,FC Arouca,Kuca
