 Alka Superliga, Esbjerg fB, Jesper Lauridsen, Denmark
 Alka Superliga, Esbjerg fB, Jonas Jensen, Denmark
 Alka Superliga, Esbjerg fB, Kevin Mensah, Denmark
 Alka Superliga, Esbjerg fB, Lasse Mikkelsen, Denmark
 Alka Superliga, Esbjerg fB, Leon Jessen, Denmark
 Alka Superliga, Esbjerg fB, Mads Hvilsom, Denmark
 Alka Superliga, Esbjerg fB, Marco Lund, Denmark
 Alka Superliga, Esbjerg fB, Mark Brink, Denmark
 Alka Superliga, Esbjerg fB, Mathias Kristensen, Denmark
 Alka Superliga, Esbjerg fB, Nikolaj Hagelskjær, Denmark
 Alka Superliga, Esbjerg fB, Robin Söder, Sweden
 Alka Superliga, Esbjerg fB, Victor Pálsson, Iceland
 Alka Superliga, FC København, Aboubakar Keita, Côte d'Ivoire
 Calcio A, Atalanta, Andreas Cornelius, Denmark
 Alka Superliga, FC København, Andrija Pavlović, Serbia
 Alka Superliga, FC København, Benjamin Verbič, Slovenia
 Alka Superliga, FC København, Danny Amankwaa, Denmark
 Alka Superliga, FC København, Erik Johansson, Sweden
 Alka Superliga, FC København, Federico Santander, Paraguay
 Alka Superliga, FC København, Frederik Bay, Denmark
 Alka Superliga, FC København, Jores Okore, Denmark
 Alka Superliga, FC København, Ján Greguš, Slovakia
 Alka Superliga, FC København, Kasper Kusk, Denmark
 Alka Superliga, FC København, Kim Christensen, Denmark
 Bundesliga, SV Werder Bremen, Ludwig Augustinsson, Sweden
 EFL Championship, Huddersfield Town, Mathias Jørgensen, Denmark
 Alka Superliga, FC København, Mikael Antonsson, Sweden
 Alka Superliga, FC København, Nicolai Boilesen, Denmark
 Alka Superliga, FC København, Nicolaj Thomsen, Denmark
 Alka Superliga, FC København, Per Nilsson, Sweden
 Alka Superliga, FC København, Peter Ankersen, Denmark
 Alka Superliga, FC København, Rasmus Falk Jensen, Denmark
 Alka Superliga, FC København, Robin Olsen, Sweden
 Alka Superliga, FC København, Stephan Andersen, Denmark
 Alka Superliga, FC København, Tom Høgli, Norway
 Alka Superliga, FC København, William Kvist, Denmark
 Alka Superliga, FC København, Youssef Toutouh, Morocco
 Alka Superliga, FC Midtjylland, André Ibsen Rømer, Denmark
 Alka Superliga, FC Midtjylland, Babajide David Akintola, Nigeria
 Alka Superliga, FC Midtjylland, Ebere Paul Onuachu, Nigeria
 Alka Superliga, FC Midtjylland, Filip Novák, Czech Republic
 Alka Superliga, FC Midtjylland, Gloire Rutikanga, Congo DR
 Alka Superliga, FC Midtjylland, Gustav Wikheim, Norway
 Alka Superliga, FC Midtjylland, Jakob Poulsen, Denmark
 Alka Superliga, FC Midtjylland, Johan Dahlin, Sweden
 Alka Superliga, FC Midtjylland, Jonas Borring, Denmark
 Alka Superliga, FC Midtjylland, Jákup Thomsen, Faroe Islands
 Alka Superliga, FC Midtjylland, Kaan Kairinen, Finland
 Alka Superliga, FC Midtjylland, Kian Hansen, Denmark
 Alka Superliga, FC Midtjylland, Kristian Dirks Riis, Denmark
 Alka Superliga, FC Midtjylland, Mads Døhr Thychosen, Denmark
 Alka Superliga, FC Midtjylland, Marc Dal Hende, Denmark
 Alka Superliga, FC Midtjylland, Marco Larsen, Denmark
 Alka Superliga, FC Midtjylland, Markus Halsti, Finland
 Alka Superliga, FC Midtjylland, Mikkel Andersen, Denmark
 Alka Superliga, FC Midtjylland, Mikkel Duelund, Denmark
 Alka Superliga, FC Midtjylland, Rafael van der Vaart, Holland
 Alka Superliga, FC Midtjylland, Rasmus Nicolaisen, Denmark
 Alka Superliga, FC Midtjylland, Rasmus Nissen Kristensen, Denmark
 Alka Superliga, FC Midtjylland, Rilwan Hassan, Nigeria
 Alka Superliga, FC Midtjylland, Simon Kroon, Sweden
 Alka Superliga, FC Midtjylland, Tim Sparv, Finland
