Steve Harper,S. Harper,S Harper,Harper,,,
Harry Maguire,H. Maguire,H Maguire,Maguire,,,
Robbie Brady,R. Brady,R Brady,Brady,,,
Tom Ince,T. Ince,T Ince,Ince,,,
Nikica Jelavic,N. Jelavic,N Jelavic,Jelavic,,,
Calaum Jahraldo-Martin,C. Jahraldo-Martin,C Jahraldo-Martin,Jahraldo-Martin,,,
Dame N'Doye,D. N'Doye,D N'Doye,N'Doye,,,
Allan McGregor,A. McGregor,A McGregor,McGregor,,,
Eldin Jakupovic,E. Jakupovic,E Jakupovic,Jakupovic,,,
Mark Oxley,M. Oxley,M Oxley,Oxley,,,
Rory Watson,,,,,,
Michael Dawson,,,,,,
Curtis Davies,,,,,,
James Chester,J. Chester,J Chester,Chester,,,
Paul McShane,P. McShane,P McShane,McShane,,,
Alex Bruce,A. Bruce,A Bruce,Bruce,,,
Maynor Figueroa,M. Figueroa,M Figueroa,Figueroa,,,
Andrew Robertson,A. Robertson,A Robertson,Robertson,,,
Joe Dudgeon,J. Dudgeon,J Dudgeon,Dudgeon,,,
Conor Townsend,,,,,,
Liam Rosenior,L. Rosenior,L Rosenior,Rosenior,,,
Tom Huddlestone,T. Huddlestone,T Huddlestone,Huddlestone,,,
Mohamed Diamé,,M. Diamé,M Diamé,Diamé,,
David Meyler,D. Meyler,D Meyler,Meyler,,,
Jake Livermore,J. Livermore,J Livermore,Livermore,,,
Stephen Quinn,S. Quinn,S Quinn,Quinn,,,
Ahmed Elmohamady,A. Elmohamady,A Elmohamady,Elmohamady,,,
Robert Snodgrass,Snodgrass,R. Snodgrass,R Snodgrass,Snodgrass,,
Sone Aluko,S. Aluko,S Aluko,Aluko,,,
Abel Hernández,,,,,,
Yannick Sagbo,Y. Sagbo,Y Sagbo,Sagbo,,,
Yohan Benalouane,Y. Benalouane,Y Benalouane,Benalouane,,,
Islam Slimani,Slimani,I. Slimani,I Slimani,Slimani,,
Ahmed Musa,Musa,A. Musa,A Musa,Musa,,
Nampalys Mendy,,,,,,
Ron-Robert Zieler,R. Zieler,R Zieler,Zieler,,,
Luis Hernández,,,,,,
Kasper Schmeichel,K. Schmeichel,K Schmeichel,Schmeichel,,,
Ben Hamer,B. Hamer,B Hamer,Hamer,,,
Robert Huth,,,,,,
Wes Morgan,W. Morgan,W Morgan,,,,
Marcin Wasilewski,M. Wasilewski,M Wasilewski,Wasilewski,,,
Jeffrey Schlupp,J. Schlupp,J Schlupp,Schlupp,,,
Ben Chilwell,B. Chilwell,B Chilwell,Chilwell,,,
Danny Simpson,D. Simpson,D Simpson,Simpson,,,
Daniel Amartey,D. Amartey,D Amartey,Amartey,,,
Danny Drinkwater,Drinkwater,D. Drinkwater,D Drinkwater,Drinkwater,,
Andy King,,,,,,
Matty James,M. James,M James,,,,
Marc Albrighton,Albrighton,M. Albrighton,M Albrighton,Albrighton,,
Bartosz Kapustka,B. Kapustka,B Kapustka,Kapustka,,,
Demarai Gray,,,,,,
Riyad Mahrez,Mahrez,R. Mahrez,R Mahrez,Mahrez,,
Jamie Vardy,Vardy,J. Vardy,J Vardy,Vardy,,
Shinji Okazaki,Okazaki,S. Okazaki,S Okazaki,Okazaki,,
Leonardo Ulloa,L. Ulloa,L Ulloa,Ulloa,,,
Pierre-Emile Höjbjerg,,P. Höjbjerg,P Höjbjerg,Höjbjerg,,
Alex McCarthy,,,,,,
Lloyd Isgrove,L. Isgrove,L Isgrove,Isgrove,,,
Shane Long,,,,,,
Jérémy Pied,,,J. Pied,J Pied,Pied,
Sofiane Boufal,S. Boufal,S Boufal,Boufal,,,
Nathan Redmond,N. Redmond,N Redmond,Redmond,,,
Fraser Forster,F. Forster,F Forster,Forster,,,
Virgil van Dijk,,,,,,
José Fonte,,J. Fonte,J Fonte,Fonte,,
Florin Gardos,F. Gardos,F Gardos,Gardos,,,
Maya Yoshida,M. Yoshida,M Yoshida,Yoshida,,,
Jack Stephens,J. Stephens,J Stephens,Stephens,,,
Ryan Bertrand,R. Bertrand,R Bertrand,,,,
Matt Targett,M. Targett,M Targett,Targett,,,
Cédric Soares,,,,,,
Cuco Martina,C. Martina,C Martina,Martina,,,
Jordy Clasie,J. Clasie,J Clasie,Clasie,,,
Oriol Romeu,O. Romeu,O Romeu,Romeu,,,
James Ward-Prowse,J. Ward-Prowse,J Ward-Prowse,Ward-Prowse,,,
Steven Davis,S. Davis,S Davis,Davis,,,
Harrison Reed,H. Reed,H Reed,Reed,,,
Dusan Tadic,Tadic,D. Tadic,D Tadic,Tadic,,
Sam McQueen,S. McQueen,S McQueen,McQueen,,,
Jay Rodríguez,,,,,,
Charlie Austin,C. Austin,C Austin,Austin,,,
Stuart Taylor,,,,,,
Roberto Pereyra,R. Pereyra,R Pereyra,Pereyra,,,
Stefano Okaka,S. Okaka,S Okaka,Okaka,,,
Camilo Zúñiga,,,C. Zúñiga,C Zúñiga,Zúñiga,
Daryl Janmaat,D. Janmaat,D Janmaat,Janmaat,,,
Brice Dja Djedjé,,,,,,
Abdoulaye Doucouré,,,,,,
Isaac Success,I. Success,I Success,Success,,,
Giedrius Arlauskis,G. Arlauskis,G Arlauskis,Arlauskis,,,
Costel Pantilimon,C. Pantilimon,C Pantilimon,Pantilimon,,,
Heurelho Gomes,,,,,,
Rene Gilmartin,R. Gilmartin,R Gilmartin,Gilmartin,,,
Christian Kabasele,C. Kabasele,C Kabasele,Kabasele,,,
Sebastian Prödl,,S. Prödl,S Prödl,Prödl,,
Craig Cathcart,C. Cathcart,C Cathcart,Cathcart,,,
Miguel Britos,M. Britos,M Britos,Britos,,,
José Holebas,,J. Holebas,J Holebas,Holebas,,
Juan Carlos Paredes,,,,,,
Etienne Capoue,E. Capoue,E Capoue,Capoue,,,
Valon Behrami,V. Behrami,V Behrami,Behrami,,,
Ben Watson,,,,,,
Adlène Guédioura,,,A. Guédioura,A Guédioura,Guédioura,
Nordin Amrabat,N. Amrabat,N Amrabat,Amrabat,,,
Odion Ighalo,O. Ighalo,O Ighalo,Ighalo,,,
Troy Deeney,T. Deeney,T Deeney,Deeney,,,
Jerome Sinclair,,,,,,
Kenedy,,,,,,
Younès Kaboul,,Y. Kaboul,Y Kaboul,Kaboul,,
Haviv Ohayon,H. Ohayon,H Ohayon,Ohayon,,,
Adrian Mariappa,A. Mariappa,A Mariappa,Mariappa,,,
David Nugent,D. Nugent,D Nugent,Nugent,,,
Stewart Downing,S. Downing,S Downing,Downing,,,
Brad Guzan,B. Guzan,B Guzan,Guzan,,,
Gastón Ramírez,,,,,,
Viktor Fischer,V. Fischer,V Fischer,Fischer,,,
Antonio Barragán,,A. Barragán,A Barragán,Barragán,,
Alvaro Negredo,A. Negredo,A Negredo,Negredo,,,
Víctor Valdés,,,V. Valdés,V Valdés,Valdés,
Bernardo Espinosa,,,,,,
Marten de Roon,,,,,,
Dimitrios Konstantopoulos,D. Konstantopoulos,D Konstantopoulos,Konstantopoulos,,,
Tomás Mejías,,,T. Mejías,T Mejías,Mejías,
Daniel Ayala,D. Ayala,D Ayala,Ayala,,,
Ben Gibson,,,,,,
Fábio,,,,,,
George Friend,G. Friend,G Friend,Friend,,,
James Husband,J. Husband,J Husband,Husband,,,
Emilio Nsue,E. Nsue,E Nsue,Nsue,,,
Julien de Sart,,,,,,
Adam Clayton,A. Clayton,A Clayton,Clayton,,,
Adam Forshaw,A. Forshaw,A Forshaw,Forshaw,,,
Grant Leadbitter,G. Leadbitter,G Leadbitter,Leadbitter,,,
Carlos de Pena,,,,,,
Jordan Rhodes,J. Rhodes,J Rhodes,Rhodes,,,
Cristhian Stuani,C. Stuani,C Stuani,Stuani,,,
Calum Chambers,C. Chambers,C Chambers,Chambers,,,
Bruno Martins Indi,,,,,,
Daniel Bachmann,D. Bachmann,D Bachmann,Bachmann,,,
Wilfried Bony,W. Bony,W Bony,Bony,,,
Jack Butland,J. Butland,J Butland,Butland,,,
Jakob Haugaard,J. Haugaard,J Haugaard,Haugaard,,,
Shay Given,S. Given,S Given,Given,,,
Ryan Shawcross,R. Shawcross,R Shawcross,Shawcross,,,
Marc Muniesa,M. Muniesa,M Muniesa,Muniesa,,,
Geoff Cameron,G. Cameron,G Cameron,,,,
Dionatan Teixeira,,,,,,
Erik Pieters,E. Pieters,E Pieters,Pieters,,,
Glen Johnson,,,,,,
Phil Bardsley,P. Bardsley,P Bardsley,Bardsley,,,
Giannelli Imbula,G. Imbula,G Imbula,Imbula,,,
Glenn Whelan,G. Whelan,G Whelan,Whelan,,,
Joe Allen,J. Allen,J Allen,Allen,,,
Charlie Adam,C. Adam,C Adam,,,,
Stephen Ireland,S. Ireland,S Ireland,Ireland,,,
Ibrahim Afellay,I. Afellay,I Afellay,Afellay,,,
Ramadan Sobhi,R. Sobhi,R Sobhi,Sobhi,,,
Xherdan Shaqiri,Shaqiri,X. Shaqiri,X Shaqiri,Shaqiri,,
Marko Arnautovic,Arnautovic,M. Arnautovic,M Arnautovic,Arnautovic,,
Jonathan Walters,J. Walters,J Walters,Walters,,,
Bojan Krkic,B. Krkic,B Krkic,Krkic,,,
Mame Diouf,M. Diouf,M Diouf,Diouf,,,
Peter Crouch,P. Crouch,P Crouch,Crouch,,,
Lee Grant,L. Grant,L Grant,,,,
Idrissa Gueye,Gueye,I. Gueye,I Gueye,Gueye,,
Conor McAleny,C. McAleny,C McAleny,McAleny,,,
Joel Robles,J. Robles,J Robles,Robles,,,
Maarten Stekelenburg,M. Stekelenburg,M Stekelenburg,Stekelenburg,,,
Ramiro Funes Mori,,,,,,
Ashley Williams,,,,,,
Phil Jagielka,P. Jagielka,P Jagielka,Jagielka,,,
Leighton Baines,L. Baines,L Baines,Baines,,,
Bryan Oviedo,B. Oviedo,B Oviedo,Oviedo,,,
Seamus Coleman,S. Coleman,S Coleman,Coleman,,,
Tyias Browning,T. Browning,T Browning,Browning,,,
Muhamed Besic,M. Besic,M Besic,Besic,,,
Gareth Barry,G. Barry,G Barry,Barry,,,
James McCarthy,,,,,,
Tom Cleverley,T. Cleverley,T Cleverley,Cleverley,,,
Darron Gibson,,,,,,
Ross Barkley,Barkley,R. Barkley,R Barkley,Barkley,,
Kevin Mirallas,Mirallas,K. Mirallas,K Mirallas,Mirallas,,
Gerard Deulofeu,Deulofeu,G. Deulofeu,G Deulofeu,Deulofeu,,
Aaron Lennon,A. Lennon,A Lennon,Lennon,,,
Romelu Lukaku,Lukaku,,,,,
Oumar Niasse,O. Niasse,O Niasse,Niasse,,,
Arouna Koné,,,,,,
Leandro Rodríguez,,,,,,
Enner Valencia,,,,,,
Yannick Bolasie,Bolasie,Y. Bolasie,Y Bolasie,Bolasie,,
