2. Bundesliga 2016/17,1. FC Kaiserslautern,André Weis
2. Bundesliga 2016/17,1. FC Kaiserslautern,Julian Pollersbeck
2. Bundesliga 2016/17,1. FC Kaiserslautern,JanOle Sievers
2. Bundesliga 2016/17,1. FC Kaiserslautern,Ewerton
2. Bundesliga 2016/17,1. FC Kaiserslautern,Patrick Ziegler
2. Bundesliga 2016/17,1. FC Kaiserslautern,Tim Heubach
2. Bundesliga 2016/17,1. FC Kaiserslautern,Naser Aliji
2. Bundesliga 2016/17,1. FC Kaiserslautern,Mensur Mujdza
2. Bundesliga 2016/17,1. FC Kaiserslautern,Phillipp Mwene
2. Bundesliga 2016/17,1. FC Kaiserslautern,Robin Koch
2. Bundesliga 2016/17,1. FC Kaiserslautern,Marlon Frey
2. Bundesliga 2016/17,1. FC Kaiserslautern,Christoph Moritz
2. Bundesliga 2016/17,1. FC Kaiserslautern,Alexander Ring
2. Bundesliga 2016/17,1. FC Kaiserslautern,Daniel Halfar
2. Bundesliga 2016/17,1. FC Kaiserslautern,Nils Seufert
2. Bundesliga 2016/17,1. FC Kaiserslautern,Sebastian Kerk
2. Bundesliga 2016/17,1. FC Kaiserslautern,Zoltán Stieber
2. Bundesliga 2016/17,1. FC Kaiserslautern,Marcel Gaus
2. Bundesliga 2016/17,1. FC Kaiserslautern,Robert Pich
2. Bundesliga 2016/17,1. FC Kaiserslautern,Nicklas Shipnoski
2. Bundesliga 2016/17,1. FC Kaiserslautern,Lukas Görtler
2. Bundesliga 2016/17,1. FC Kaiserslautern,Maximilian Dittgen
2. Bundesliga 2016/17,1. FC Kaiserslautern,Jacques Zoua
2. Bundesliga 2016/17,1. FC Kaiserslautern,Kacper Przybylko
2. Bundesliga 2016/17,1. FC Kaiserslautern,Osayamen Osawe
2. Bundesliga 2016/17,1. FC Kaiserslautern,Sebastian Jacob
2. Bundesliga 2016/17,1. FC Kaiserslautern,Erik Wekesser
2. Bundesliga 2016/17,Hannover 96,Felipe
2. Bundesliga 2016/17,Hannover 96,Philipp Tschauner
2. Bundesliga 2016/17,Hannover 96,Timo Königsmann
2. Bundesliga 2016/17,Hannover 96,Samuel SahinRadlinger
2. Bundesliga 2016/17,Hannover 96,Salif Sané
2. Bundesliga 2016/17,Hannover 96,Stefan Strandberg
2. Bundesliga 2016/17,Hannover 96,Florian Hübner
2. Bundesliga 2016/17,Hannover 96,Waldemar Anton
2. Bundesliga 2016/17,Hannover 96,Timo Hübers
2. Bundesliga 2016/17,Hannover 96,Miiko Albornoz
2. Bundesliga 2016/17,Hannover 96,Edgar Prib
2. Bundesliga 2016/17,Hannover 96,Oliver Sorg
2. Bundesliga 2016/17,Hannover 96,Fynn Arkenberg
2. Bundesliga 2016/17,Hannover 96,Manuel Schmiedebach
2. Bundesliga 2016/17,Hannover 96,Andre Hoffmann
2. Bundesliga 2016/17,Hannover 96,Iver Fossum
2. Bundesliga 2016/17,Hannover 96,Marvin Bakalorz
2. Bundesliga 2016/17,Hannover 96,Sebastian Maier
2. Bundesliga 2016/17,Hannover 96,Mike Steven Bähre
2. Bundesliga 2016/17,Hannover 96,Felix Klaus
2. Bundesliga 2016/17,Hannover 96,Kenan Karaman
2. Bundesliga 2016/17,Hannover 96,Valmir Sulejmani
2. Bundesliga 2016/17,Hannover 96,Martin Harnik
2. Bundesliga 2016/17,Hannover 96,Uffe Bech
2. Bundesliga 2016/17,Hannover 96,Noah Joel Sarenren Bazee
2. Bundesliga 2016/17,Hannover 96,Niclas Füllkrug
2. Bundesliga 2016/17,Hannover 96,Artur Sobiech
2. Bundesliga 2016/17,Hannover 96,Charlison Benschop
2. Bundesliga 2016/17,Hannover 96,Babacar Gueye
2. Bundesliga 2016/17,Arminia Bielefeld,Wolfgang Hesl
2. Bundesliga 2016/17,Arminia Bielefeld,Daniel Davari
2. Bundesliga 2016/17,Arminia Bielefeld,Nikolai Rehnen
2. Bundesliga 2016/17,Arminia Bielefeld,Baboucarr Gaye
2. Bundesliga 2016/17,Arminia Bielefeld,Julian Börner
2. Bundesliga 2016/17,Arminia Bielefeld,Brian Behrendt
2. Bundesliga 2016/17,Arminia Bielefeld,Stephan Salger
2. Bundesliga 2016/17,Arminia Bielefeld,Malcolm Cacutalua
2. Bundesliga 2016/17,Arminia Bielefeld,Manuel Hornig
2. Bundesliga 2016/17,Arminia Bielefeld,Sebastian Schuppan
2. Bundesliga 2016/17,Arminia Bielefeld,Florian Hartherz
2. Bundesliga 2016/17,Arminia Bielefeld,Florian Dick
2. Bundesliga 2016/17,Arminia Bielefeld,Steffen Lang
2. Bundesliga 2016/17,Arminia Bielefeld,Tom Schütz
2. Bundesliga 2016/17,Arminia Bielefeld,Tomasz Holota
2. Bundesliga 2016/17,Arminia Bielefeld,Manuel Prietl
2. Bundesliga 2016/17,Arminia Bielefeld,Allan Firmino Dantas
2. Bundesliga 2016/17,Arminia Bielefeld,Manuel Junglas
2. Bundesliga 2016/17,Arminia Bielefeld,Daniel Brinkmann
